title,price,location,link,description,area,bedrooms,bathrooms,source,image_url,active,status,last_seen
"Apartamento en Alquiler en La Paz, Envigado",3000000,"La Paz, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-paz-envigado-9705721,,95,3,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_envigado_1767884448-3113_9567.jpeg,t,NEW,2026-01-13 20:50:40.07309+00
"Apartamento en Alquiler en Suramerica, La Estrella",2900000,"Suramerica, La Estrella",https://pandainmobiliaria.com/inmuebles/apartamento-suramerica-la-estrella-9216563,,75.8,2,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_en_s_1750265912-1403_4180.jpeg,t,NEW,2026-01-13 20:50:43.956803+00
"Apartamento en Alquiler en La Cuenca, Envigado",2900000,"La Cuenca, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-cuenca-envigado-9475659,,70,3,,panda,https://images.wasi.co/inmuebles/89827120250919030138.png,t,NEW,2026-01-13 20:50:45.187003+00
"Apartamento en Alquiler en Envigado, Envigado",2750000,"Envigado, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-envigado-envigado-9611443,,75,3,,panda,https://images.wasi.co/inmuebles/89827320251107020414.jpeg,t,NEW,2026-01-13 20:50:45.418103+00
"Apartamento en Alquiler en Calle Larga, Sabaneta",2700000,"Calle Larga, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-calle-larga-sabaneta-6959265,,68,3,,panda,https://images.wasi.co/inmuebles/89827520230918035130.jpg,t,NEW,2026-01-13 20:50:49.185967+00
"Apartamento en Alquiler en La Magnolia, Envigado",2700000,"La Magnolia, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-magnolia-envigado-8097053,,95,3,,panda,https://images.wasi.co/inmuebles/89827320240917033010.jpg,t,NEW,2026-01-13 20:50:49.253708+00
"Apartamento en Alquiler en La Cuenca, Envigado",2700000,"La Cuenca, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-cuenca-envigado-8179184,,65,3,,panda,https://images.wasi.co/inmuebles/89827120241023115532.jpeg,t,NEW,2026-01-13 20:50:52.338563+00
"Apartamento en Alquiler en El Dorado, Envigado",2700000,"El Dorado, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-dorado-envigado-8303140,,70,3,,panda,https://images.wasi.co/inmuebles/898272320260107082344.jpeg,t,NEW,2026-01-13 20:50:52.423166+00
"Apartamento en Alquiler en La Paz, Envigado",2700000,"La Paz, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-paz-envigado-9496854,,77,3,,panda,https://images.wasi.co/inmuebles/898271720251220083244.jpeg,t,NEW,2026-01-13 20:50:52.497868+00
"Apartamento en Alquiler en Camino Verde, Envigado",2650000,"Camino Verde, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-camino-verde-envigado-9680561,,69,3,,panda,https://images.wasi.co/inmuebles/_apartamento_arriendo_envigado_1765895480-4755_2772.jpeg,t,NEW,2026-01-13 20:50:55.899752+00
"Apartamento en Alquiler en La Sabana, Sabaneta",2600000,"La Sabana, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-la-sabana-sabaneta-8483536,,68,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_arriendo_en_sab_1739392853-9137_1020.jpeg,t,NEW,2026-01-13 20:50:56.117868+00
"Apartamento en Alquiler en Primavera, Envigado",2600000,"Primavera, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-primavera-envigado-9324634,,130,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1752859753-9879_2120.jpeg,t,NEW,2026-01-13 20:50:56.189154+00
"Apartamento en Alquiler en La Aldea, La Estrella",2600000,"La Aldea, La Estrella",https://pandainmobiliaria.com/inmuebles/apartamento-la-aldea-la-estrella-9357784,,70,3,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_en_l_1754317662-8163_3008.jpeg,t,NEW,2026-01-13 20:50:56.468802+00
"Apartamento en Alquiler en La Paz, Envigado",2600000,"La Paz, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-paz-envigado-9498030,,124,3,,panda,https://images.wasi.co/inmuebles/89827420251006104153.jpeg,t,NEW,2026-01-13 20:50:59.536722+00
"Apartamento en Alquiler en Camino Verde, Envigado",2600000,"Camino Verde, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-camino-verde-envigado-9676398,,63,3,,panda,https://images.wasi.co/inmuebles/898272720251212015845.jpeg,t,NEW,2026-01-13 20:50:59.648732+00
"Apartamento en Alquiler en Calle Larga, Sabaneta",2600000,"Calle Larga, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-calle-larga-sabaneta-9689225,,68,3,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_es_s_1766431962-3106_6255.jpeg,t,NEW,2026-01-13 20:50:59.856748+00
"Apartamento en Alquiler en La Paz, Envigado",2500000,"La Paz, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-paz-envigado-6909130,,90,3,,panda,https://images.wasi.co/inmuebles/89827820230831035314.jpg,t,NEW,2026-01-13 20:51:03.111931+00
"Apartamento en Alquiler en Obrero, Envigado",2500000,"Obrero, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-obrero-envigado-7488571,,140,4,,panda,https://images.wasi.co/inmuebles/898271420240523040614.jpg,t,NEW,2026-01-13 20:51:03.280457+00
"Apartamento en Alquiler en Las Cometas, Envigado",2500000,"Las Cometas, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-las-cometas-envigado-9322090,,62,3,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_envi_1752771689-2754_6978.jpeg,t,NEW,2026-01-13 20:51:03.344138+00
